0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 4064
48 , 48 , 0 , 0 , 12386
72 , 72 , 1 , 1 , 39243
96 , 96 , 24 , 24 , 63612
120 , 120 , 48 , 48 , 83756
144 , 145 , 66 , 67 , 90238
168 , 175 , 87 , 89 , 95573
192 , 209 , 111 , 115 , 120953
216 , 234 , 135 , 139 , 124716
240 , 261 , 159 , 164 , 133821
264 , 285 , 183 , 188 , 145388
288 , 313 , 207 , 216 , 149268
312 , 337 , 231 , 240 , 160945
336 , 361 , 255 , 264 , 163206
360 , 385 , 279 , 288 , 179545
384 , 411 , 303 , 312 , 184753
408 , 435 , 327 , 336 , 194450
432 , 464 , 351 , 364 , 215420
456 , 489 , 375 , 389 , 219868
480 , 517 , 399 , 417 , 232629
504 , 547 , 423 , 447 , 244583
528 , 571 , 447 , 471 , 258057
552 , 596 , 471 , 496 , 264093
576 , 629 , 495 , 526 , 267568
600 , 659 , 519 , 556 , 272465
624 , 683 , 543 , 580 , 290068
648 , 717 , 567 , 614 , 307997
672 , 746 , 591 , 643 , 314446
696 , 778 , 615 , 672 , 318086
720 , 804 , 639 , 698 , 325851
744 , 828 , 663 , 722 , 328181
768 , 855 , 687 , 746 , 336194
792 , 879 , 711 , 770 , 373715
816 , 903 , 735 , 794 , 377428
840 , 930 , 759 , 821 , 387850
864 , 958 , 783 , 849 , 393728
888 , 983 , 807 , 874 , 395563
912 , 1016 , 831 , 907 , 400509
936 , 1040 , 855 , 931 , 434143
960 , 1066 , 879 , 957 , 437680
984 , 1090 , 903 , 981 , 439688
1008 , 1120 , 927 , 1011 , 443825
1032 , 1144 , 951 , 1035 , 453189
1056 , 1169 , 975 , 1059 , 460777
1080 , 1193 , 999 , 1083 , 467927
1104 , 1225 , 1023 , 1115 , 488961
1128 , 1249 , 1047 , 1139 , 493333
1152 , 1273 , 1071 , 1163 , 515795
1176 , 1311 , 1095 , 1201 , 526329
1200 , 1335 , 1119 , 1225 , 529951
1224 , 1359 , 1143 , 1249 , 534680
1248 , 1383 , 1167 , 1273 , 552864
1272 , 1407 , 1191 , 1297 , 556718
1296 , 1431 , 1215 , 1321 , 559259
1320 , 1456 , 1239 , 1346 , 570265
1344 , 1483 , 1263 , 1373 , 575742
1368 , 1514 , 1287 , 1404 , 591693
1392 , 1538 , 1311 , 1428 , 601206
1416 , 1562 , 1335 , 1452 , 603933
1440 , 1588 , 1359 , 1478 , 612717
1464 , 1616 , 1383 , 1506 , 637554
1488 , 1640 , 1407 , 1530 , 646289
1512 , 1664 , 1431 , 1554 , 648023
1536 , 1690 , 1455 , 1580 , 666186
1560 , 1714 , 1479 , 1604 , 684524
1584 , 1739 , 1503 , 1629 , 710959
1608 , 1770 , 1527 , 1660 , 718437
1632 , 1794 , 1551 , 1684 , 721396
1656 , 1818 , 1575 , 1708 , 726759
1680 , 1842 , 1599 , 1732 , 733877
1704 , 1866 , 1623 , 1756 , 755718
1728 , 1890 , 1647 , 1780 , 759802
1752 , 1914 , 1671 , 1804 , 762568
1776 , 1958 , 1695 , 1848 , 768018
1800 , 1992 , 1719 , 1882 , 790083
