0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 2445
48 , 48 , 0 , 0 , 5120
72 , 72 , 0 , 0 , 7516
96 , 99 , 5 , 5 , 21567
120 , 123 , 15 , 15 , 36034
144 , 147 , 37 , 37 , 40756
168 , 171 , 59 , 59 , 51767
192 , 197 , 69 , 71 , 67488
216 , 221 , 86 , 88 , 71456
240 , 245 , 110 , 112 , 85185
264 , 271 , 131 , 135 , 95171
288 , 295 , 155 , 159 , 109263
312 , 319 , 179 , 183 , 115998
336 , 343 , 203 , 207 , 127608
360 , 367 , 227 , 231 , 131310
384 , 391 , 251 , 255 , 164735
408 , 415 , 275 , 279 , 188196
432 , 442 , 299 , 306 , 192408
456 , 466 , 323 , 330 , 203967
480 , 490 , 347 , 354 , 229665
504 , 518 , 371 , 382 , 240066
528 , 542 , 395 , 406 , 251832
552 , 566 , 419 , 430 , 253884
576 , 593 , 443 , 454 , 255955
600 , 617 , 467 , 478 , 261338
624 , 641 , 491 , 502 , 283793
648 , 665 , 515 , 526 , 324173
672 , 689 , 539 , 550 , 328184
696 , 713 , 563 , 574 , 334449
720 , 741 , 587 , 602 , 336702
744 , 765 , 611 , 626 , 342393
768 , 802 , 635 , 662 , 348954
792 , 832 , 659 , 688 , 367724
816 , 856 , 683 , 712 , 370612
840 , 886 , 707 , 742 , 376074
864 , 910 , 731 , 766 , 384125
888 , 934 , 755 , 790 , 393203
912 , 962 , 779 , 818 , 421213
936 , 994 , 803 , 850 , 432507
960 , 1020 , 827 , 876 , 442038
984 , 1044 , 851 , 900 , 446121
1008 , 1070 , 875 , 926 , 449115
1032 , 1096 , 899 , 952 , 470328
1056 , 1124 , 923 , 980 , 480951
1080 , 1156 , 947 , 1012 , 486807
1104 , 1183 , 971 , 1039 , 493341
1128 , 1220 , 995 , 1076 , 506198
1152 , 1245 , 1019 , 1101 , 508714
1176 , 1269 , 1043 , 1125 , 513224
1200 , 1299 , 1067 , 1155 , 536234
1224 , 1325 , 1091 , 1181 , 543164
1248 , 1349 , 1115 , 1205 , 551747
1272 , 1373 , 1139 , 1229 , 559100
1296 , 1397 , 1163 , 1253 , 562030
1320 , 1421 , 1187 , 1277 , 569454
1344 , 1445 , 1211 , 1301 , 575974
1368 , 1469 , 1235 , 1325 , 582847
1392 , 1493 , 1259 , 1349 , 588461
1416 , 1517 , 1283 , 1373 , 595941
1440 , 1541 , 1307 , 1397 , 600543
1464 , 1574 , 1331 , 1430 , 622697
1488 , 1611 , 1355 , 1467 , 655855
1512 , 1635 , 1379 , 1491 , 658274
1536 , 1659 , 1403 , 1515 , 661182
