0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 2118
48 , 48 , 0 , 0 , 12158
72 , 72 , 0 , 0 , 15053
96 , 96 , 9 , 9 , 19373
120 , 120 , 16 , 16 , 43829
144 , 144 , 40 , 40 , 54712
168 , 168 , 64 , 64 , 56589
192 , 192 , 78 , 78 , 86358
216 , 216 , 95 , 95 , 102420
240 , 240 , 118 , 118 , 107160
264 , 264 , 142 , 142 , 118685
288 , 288 , 166 , 166 , 122659
312 , 312 , 184 , 184 , 125376
336 , 336 , 189 , 189 , 128679
360 , 360 , 191 , 191 , 130796
375 , 375 , 191 , 191 , 136636
389 , 389 , 192 , 192 , 138254
389 , 389 , 192 , 192 , 138254
391 , 391 , 192 , 192 , 138441
396 , 396 , 192 , 192 , 139042
403 , 403 , 192 , 192 , 139510
403 , 403 , 192 , 192 , 139510
408 , 408 , 192 , 192 , 140001
418 , 418 , 192 , 192 , 142942
434 , 434 , 192 , 192 , 144640
434 , 434 , 192 , 192 , 144640
444 , 444 , 192 , 192 , 145609
454 , 454 , 192 , 192 , 152452
466 , 466 , 192 , 192 , 155631
473 , 473 , 192 , 192 , 156820
473 , 473 , 192 , 192 , 156820
483 , 483 , 192 , 192 , 157294
489 , 489 , 192 , 192 , 161849
513 , 513 , 192 , 192 , 165438
537 , 537 , 192 , 192 , 167598
548 , 548 , 192 , 192 , 168628
548 , 548 , 192 , 192 , 168628
558 , 558 , 192 , 192 , 170061
558 , 558 , 192 , 192 , 170061
561 , 561 , 192 , 192 , 174540
571 , 571 , 192 , 192 , 175724
571 , 571 , 192 , 192 , 175724
575 , 575 , 192 , 192 , 176058
585 , 585 , 192 , 192 , 176946
591 , 591 , 192 , 192 , 182057
605 , 605 , 192 , 192 , 183726
615 , 615 , 192 , 192 , 187111
615 , 615 , 192 , 192 , 187111
625 , 625 , 192 , 192 , 191504
635 , 635 , 192 , 192 , 194347
635 , 635 , 192 , 192 , 194347
637 , 637 , 192 , 192 , 196339
646 , 646 , 192 , 192 , 226379
670 , 670 , 212 , 212 , 231294
694 , 694 , 235 , 235 , 237475
718 , 718 , 244 , 244 , 249543
742 , 742 , 260 , 260 , 254990
766 , 766 , 274 , 274 , 273975
790 , 790 , 298 , 298 , 286918
814 , 814 , 315 , 315 , 318037
838 , 838 , 339 , 339 , 331167
862 , 862 , 363 , 363 , 341279
886 , 886 , 387 , 387 , 347955
910 , 910 , 411 , 411 , 358740
934 , 934 , 435 , 435 , 361250
958 , 958 , 459 , 459 , 383406
982 , 982 , 483 , 483 , 402807
1006 , 1006 , 507 , 507 , 405807
1030 , 1030 , 531 , 531 , 412615
1054 , 1054 , 555 , 555 , 414778
1078 , 1078 , 579 , 579 , 419202
1102 , 1102 , 603 , 603 , 423530
1126 , 1126 , 627 , 627 , 426367
1150 , 1150 , 646 , 646 , 459901
1174 , 1174 , 670 , 670 , 481811
1198 , 1198 , 694 , 694 , 510720
