0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 22993
48 , 48 , 0 , 0 , 39200
72 , 72 , 0 , 0 , 43343
96 , 96 , 12 , 12 , 57738
120 , 120 , 36 , 36 , 63748
144 , 144 , 60 , 60 , 79078
168 , 168 , 84 , 84 , 84858
192 , 192 , 108 , 108 , 88536
216 , 216 , 132 , 132 , 95191
240 , 240 , 156 , 156 , 103103
264 , 264 , 180 , 180 , 135161
288 , 288 , 204 , 204 , 138605
312 , 312 , 228 , 228 , 150237
336 , 336 , 252 , 252 , 154800
360 , 360 , 276 , 276 , 170915
384 , 384 , 300 , 300 , 173734
408 , 408 , 324 , 324 , 180159
432 , 432 , 348 , 348 , 210160
456 , 456 , 372 , 372 , 253759
480 , 480 , 396 , 396 , 261998
504 , 504 , 420 , 420 , 277113
528 , 528 , 444 , 444 , 282422
552 , 552 , 468 , 468 , 289792
576 , 584 , 492 , 500 , 306454
600 , 608 , 516 , 524 , 309642
624 , 632 , 540 , 548 , 313156
648 , 656 , 564 , 572 , 318181
672 , 680 , 588 , 596 , 321771
696 , 704 , 612 , 620 , 327153
720 , 730 , 636 , 646 , 330734
744 , 754 , 660 , 670 , 361269
768 , 778 , 684 , 694 , 363987
792 , 802 , 708 , 718 , 369857
816 , 826 , 732 , 742 , 375021
840 , 850 , 756 , 766 , 379679
864 , 880 , 780 , 796 , 383710
888 , 904 , 804 , 820 , 394403
912 , 928 , 828 , 844 , 397169
936 , 952 , 852 , 868 , 399411
960 , 976 , 876 , 892 , 401762
984 , 1000 , 900 , 916 , 407977
1008 , 1024 , 924 , 940 , 412397
1032 , 1048 , 948 , 964 , 416829
1056 , 1072 , 967 , 983 , 419811
1080 , 1096 , 986 , 1002 , 425119
1104 , 1120 , 1009 , 1025 , 441038
1128 , 1144 , 1026 , 1042 , 447047
1152 , 1168 , 1047 , 1063 , 467561
1176 , 1195 , 1071 , 1090 , 473040
1200 , 1229 , 1095 , 1124 , 482406
1224 , 1253 , 1116 , 1145 , 483929
