0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 8031
48 , 48 , 0 , 0 , 32910
72 , 72 , 0 , 0 , 41649
96 , 96 , 12 , 12 , 45323
120 , 120 , 36 , 36 , 59394
144 , 144 , 60 , 60 , 61565
168 , 168 , 84 , 84 , 64397
192 , 192 , 106 , 106 , 67369
216 , 216 , 129 , 129 , 76365
240 , 240 , 151 , 151 , 78676
264 , 264 , 167 , 167 , 86480
288 , 288 , 176 , 176 , 101246
312 , 312 , 191 , 191 , 131191
336 , 336 , 215 , 215 , 138642
360 , 360 , 239 , 239 , 150302
384 , 384 , 263 , 263 , 153609
408 , 408 , 287 , 287 , 167092
432 , 434 , 311 , 313 , 185273
456 , 458 , 335 , 337 , 195033
480 , 482 , 359 , 361 , 205917
504 , 506 , 383 , 385 , 213454
528 , 530 , 407 , 409 , 218044
552 , 554 , 431 , 433 , 223030
576 , 578 , 455 , 457 , 243352
600 , 602 , 479 , 481 , 257721
624 , 631 , 503 , 510 , 290705
648 , 655 , 527 , 534 , 293799
672 , 679 , 551 , 558 , 308341
696 , 703 , 575 , 582 , 311184
720 , 727 , 599 , 606 , 317449
744 , 751 , 623 , 630 , 330634
768 , 775 , 647 , 654 , 332970
792 , 799 , 671 , 678 , 337725
816 , 823 , 695 , 702 , 340581
840 , 851 , 719 , 730 , 371661
864 , 879 , 743 , 758 , 383268
888 , 904 , 767 , 783 , 396493
912 , 930 , 791 , 809 , 409980
936 , 954 , 815 , 833 , 425782
960 , 978 , 839 , 857 , 428898
984 , 1002 , 863 , 881 , 447972
1008 , 1026 , 887 , 905 , 463005
1032 , 1050 , 911 , 929 , 472972
1056 , 1074 , 935 , 953 , 481824
1080 , 1098 , 959 , 977 , 485967
1104 , 1122 , 983 , 1001 , 504508
1128 , 1146 , 1007 , 1025 , 512292
1152 , 1170 , 1031 , 1049 , 524033
1176 , 1194 , 1055 , 1073 , 528830
1200 , 1218 , 1079 , 1097 , 532727
1224 , 1242 , 1103 , 1121 , 537048
1248 , 1266 , 1127 , 1145 , 551039
1272 , 1291 , 1151 , 1170 , 553252
1296 , 1315 , 1175 , 1194 , 560602
1320 , 1339 , 1199 , 1218 , 563078
1344 , 1368 , 1223 , 1247 , 565803
1368 , 1405 , 1247 , 1284 , 572840
