0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 5091
48 , 48 , 0 , 0 , 9613
72 , 72 , 0 , 0 , 29129
96 , 96 , 4 , 4 , 36283
120 , 120 , 28 , 28 , 51701
144 , 144 , 52 , 52 , 76450
168 , 168 , 76 , 76 , 78563
192 , 192 , 100 , 100 , 82448
216 , 216 , 124 , 124 , 95298
240 , 240 , 148 , 148 , 113239
264 , 264 , 172 , 172 , 127348
288 , 288 , 196 , 196 , 130658
312 , 312 , 220 , 220 , 140882
336 , 336 , 244 , 244 , 144494
360 , 360 , 268 , 268 , 151414
384 , 384 , 292 , 292 , 167628
408 , 408 , 316 , 316 , 177268
432 , 432 , 340 , 340 , 189610
456 , 456 , 364 , 364 , 202438
480 , 480 , 388 , 388 , 204482
504 , 504 , 412 , 412 , 230694
528 , 528 , 436 , 436 , 236462
552 , 552 , 460 , 460 , 239078
576 , 576 , 484 , 484 , 244570
600 , 600 , 508 , 508 , 251553
624 , 624 , 532 , 532 , 268693
648 , 648 , 556 , 556 , 281372
672 , 672 , 580 , 580 , 284593
696 , 698 , 604 , 606 , 293621
720 , 722 , 628 , 630 , 298966
744 , 746 , 652 , 654 , 302716
768 , 770 , 676 , 678 , 305716
792 , 794 , 700 , 702 , 308265
816 , 818 , 724 , 726 , 314380
840 , 842 , 748 , 750 , 319809
864 , 866 , 770 , 772 , 325785
888 , 890 , 784 , 786 , 337274
912 , 914 , 786 , 788 , 346295
936 , 938 , 794 , 796 , 353800
960 , 962 , 805 , 807 , 359505
984 , 986 , 815 , 817 , 363617
1008 , 1010 , 831 , 833 , 365843
1032 , 1034 , 845 , 847 , 378507
1056 , 1058 , 856 , 858 , 383682
1080 , 1082 , 859 , 861 , 387779
1082 , 1084 , 859 , 861 , 389063
1082 , 1084 , 859 , 861 , 389063
1091 , 1093 , 859 , 861 , 389741
1093 , 1095 , 859 , 861 , 389879
1100 , 1102 , 859 , 861 , 390498
1110 , 1112 , 859 , 861 , 398887
1134 , 1138 , 860 , 862 , 402456
1158 , 1162 , 860 , 862 , 405683
1164 , 1168 , 860 , 862 , 406990
1164 , 1168 , 860 , 862 , 406990
1164 , 1168 , 860 , 862 , 406990
1164 , 1168 , 860 , 862 , 406990
1174 , 1178 , 860 , 862 , 409427
1174 , 1178 , 860 , 862 , 409427
1184 , 1188 , 860 , 862 , 429057
1208 , 1213 , 865 , 867 , 437823
